symbol	kidney_biopsy
RPS6KC1	36
KRT18P28	0
TMCC2	5
PM20D1	10
TGIF2P1	0
RPL23AP16	0
ZNF670-ZNF695	3
ZNF692-DT	0
NUP133	118
LINC01717	0
LINC01743	0
RGS21	0
RCC2-AS1	0
RGS1	37
RGS5-AS1	0
LINC01774	0
EEF1A1P44	0
PGBD2	36
PPIAP37	0
RAC1P7	0
FLVCR1	50
SLC41A1	292
USH2A	1
LINC02817	0
RPL23AP25	3
RPL31P13	0
SMYD3-AS1	1
ZNF670	29
ADSS2	170
PLD5	2
NXNP1	0
ELF3-AS1	5
BANF1P4	0
LMOD1	33
ACBD6	51
ST7L	38
SLC35F3-AS1	0
RBBP5	131
XPR1	208
RPSAP20	0
CHCHD4P5	0
KIF14	16
RPS7P3	288
STYXL2	0
COLGALT2	10
LYPD8	0
GAPDHP29	0
PCNX2	22
CNIH3	11
SDCCAG8	173
SLC35F3	7
DPY19L4P1	0
ZNF281	474
VDAC1P4	25
MAEL	9
RABGAP1L-AS1	3
ARID4B	1597
TMEM78	2
SH3BP5L	162
WNT2B	31
RABGAP1L-DT	6
GEMIN8P4	0
NUCKS1	2310
MAP3K21	204
FYB2	49
TIMM17A	331
CDC7	2
TEX50	0
NDUFAF4P4	0
RABGAP1L-IT1	1
LINC01691	0
TSEN15P2	0
LINC01363	0
GPR52	0
RPL10P4	6
FEN1P1	0
SMYD3	30
KLHL20	351
NTPCR	149
HMGB3P6	1
RAB29	394
LINC01681	0
OVAAL	0
KCTD3	446
LINC01682	0
ZC3H12A	58
HHAT	39
CD244	0
RBM34	5
KCNK1	119
TEDDM1	0
NMNAT1P2	0
LINC00272	0
VDAC1P10	0
LINC02786	0
LINC00582	0
LINC01677	0
HMCN1	6
LINC01350	1
PDC-AS1	56
PDC	3
MIR6859-2	0
U6	4
MIR4689	0
RN7SL614P	0
SNORA59A	19
RNU6-1265P	0
SNORA70	1
RNU7-179P	0
RNA5SP40	0
MIR4695	0
MIR34A	0
RNU6-110P	0
RN7SKP91	0
RN7SL371P	0
Y_RNA	39
SCARNA21B	0
RNU6-176P	0
MIR552	0
MIR4420	0
SNORA63	0
RNU6-584P	0
RNU6-605P	0
MIR4255	0
RNU6-636P	0
RNA5SP43	0
MIR3659	0
RNU6-510P	0
RNU6-753P	0
RN7SL290P	3
RNA5SP46	0
Metazoa_SRP	2
MIR6732	0
MIR6733	0
RNU2-30P	10
RNU6-969P	2
RNU6-1237P	3
RNU6-1026P	0
MIR6079	0
MIR5581	0
RNU6-40P	0
RNU7-62P	2
RNU6-414P	4
RNU6-1177P	3
RN7SL180P	11
MIR3116-1	0
MIR3116-2	0
RNU6-161P	0
RN7SKP19	0
RNU6-371P	0
RNU2-15P	0
RNU4-88P	0
RNA5SP23	0
MIR7156	0
RN7SL62P	0
RNU6-503P	0
RNA5SP20	0
RN7SL854P	0
RNA5SP21	0
MIR4781	0
RNU7-8P	0
RN7SL370P	0
RNA5SP22	0
RNA5SP52	0
SNORD3G	0
RNA5SP50	0
RN7SL392P	0
RNU6-1246P	0
RNA5SP51	1
MIR2682	0
RNA5SP48	0
RN7SL440P	0
RN7SL488P	0
RN7SL583P	0
MIR137	0
RNU7-123P	0
MIR30E	0
RNU6-750P	0
MIR30C1	0
RNU6-125P	0
RNU6-1318P	0
RNU6-695P	0
MIR378G	0
MIR760	0
RN7SL130P	10
RNU4-75P	0
RN7SKP291	0
MIR7852	0
RNU6-830P	0
MIR761	0
RNU1-130P	0
RNU6-965P	0
MIR320B1	0
RN7SKP272	0
RNA5SP56	0
MIR942	0
MIR548AC	0
RN7SKP285	0
RNVU1-22	0
RNU4ATAC8P	0
RNA5SP55	0
RNA5SP533	0
RN7SL420P	0
MIR4256	0
RNU6-352P	0
RNU1-75P	0
7SK	0
RNA5SP64	0
RNU6-41P	0
RNU6-1310P	0
RNU6-307P	0
RNU5F-6P	0
RNU7-183P	0
U3	42
RNU6-983P	0
RNA5SP72	0
RNU6-716P	0
MIR557	0
U7	0
RNU1-141P	0
MIR921	0
RNU6-778P	0
RNA5SP57	0
RNU2-12P	0
SNORA16B	0
SNORD116	0
MIR1255B2	0
SCARNA3	2
RNU6-609P	0
RN7SL299P	0
U8	0
MIR3119-1	0
RNU6-570P	0
RNU4-77P	0
MIR3119-2	0
SNORA14B	0
MIR4427	0
MIR4671	0
RNU6-465P	0
MIR3658	0
MIR205	0
RNY4P16	0
RN7SL333P	1
RNU6-725P	0
RNU6-403P	0
RN7SL668P	0
RNU6-1283P	2
RN7SL344P	0
MIR6740	0
RNA5SP80	0
RNU5A-5P	0
MIR3121	0
RNU6-1205P	1
MIR488	0
RNA5SP73	0
RN7SKP156	0
SNORA70H	0
RNU2-19P	0
RNA5SP65	1
RN7SKP49	0
SNORA72	18
RNA5SP62	0
RNU5A-8P	0
RN7SL269P	0
MIR3122	0
RNA5SP63	0
RN7SKP98	0
RNA5SP77	0
5S_rRNA	0
RNU6-418P	1
RN7SKP12	0
MIR3124	0
RNU6-1240P	0
TMCO1-AS1	1
CAMK2N1	1166
MUL1	66
RPS4XP4	2
FAM43B	1
CDA	14
PINK1	2
MIR6084	0
PINK1-AS	17
ZNF101P2	0
SCARNA18B	5
CDC73	270
MIR1278	0
B3GALT2	2
LINC01031	1
LINC01758	0
SGO1P1	0
RN7SL538P	0
