symbol	A4_20	NBS1_40_2	NBS1_40Bleo_2	UJ_20	NBS1_20	NBS8_20	A4_40	NBS1_40	NBS1_40Bleo	UJ_40	UJ_40Bleo
FBLIM1	6.0985555378367	6.20563956761082	6.37362430129938	6.11706454090951	6.12984162941306	6.3000431831576	6.86583667751595	6.84696062834377	6.62541846527112	6.35752720699709	6.41805344595061
SPEN	9.38420966487958	10.0364495620866	10.1707590166058	9.55480457820176	9.30654383883735	9.26926736363474	9.57986047155925	9.90340811642917	10.0225323524468	10.1728366752988	9.96839457149775
C1orf64	6.83057611801899	6.81692212064147	6.9815826410581	6.83320978477708	6.74688703549399	6.76504707326909	7.54732814072805	6.79737646080468	6.94753750207006	6.81643930856543	6.98076165015152
CLCNKB	5.30871163779931	5.6611970718923	5.37408095596291	5.81508084036181	5.70947128466566	5.77958623228952	5.77551544549019	5.61401919807659	5.66401428263918	5.6178005103905	5.79266258342747
NECAP2	8.56077441316257	8.23821638550794	7.99448387593826	8.69545165939831	8.33732082908483	8.92031317039409	8.71511211820656	8.36817723723241	8.33105803102097	8.16399787910357	8.67575568280773
FAM231B	5.43823603740513	5.5078346189718	5.52638840112202	5.71570083732961	5.87578428468016	5.97334712484967	5.620880335618	6.09846607156959	5.74535285420622	5.51473621381063	5.68518753845294
FAM231C	6.92934342632648	7.06552918651516	7.10938031304438	7.21944426774325	6.99459268012978	7.14410488368193	7.31236174452907	7.2745087168601	7.35757655342392	7.3427345421291	7.3596297877232
CROCC	7.99816932274082	7.99767650045227	8.02715406500224	8.31055912251663	8.08709180890344	8.38175641158214	8.37129813462447	8.26746338103747	8.23381463226746	8.22347721193289	8.24868290599621
PADI1	6.50687746911277	6.75575906709486	6.79898360068771	6.74188587484634	6.63456326258736	7.29607377884363	7.37386421008981	6.85703499605876	6.61201143609721	6.79437498789409	6.55605595525399
PADI3	5.48529294158995	5.66686086766658	5.64329614147154	5.77953363379984	5.6597304166749	6.17684097060248	6.28180760886054	5.26328805028757	5.71489255063985	6.11291823160706	5.8474567225115
PADI4	6.13510868634596	5.90383100684037	6.72019556452099	6.60007903368705	6.52087075022972	7.10484875215781	7.31845577175153	6.32756068644439	5.86541568812395	6.59354604240841	6.14551890935404
PADI6	5.2200369507279	5.93158150713799	5.70180659065906	5.43477124912864	5.26968367961943	5.78242141788184	6.45977583372205	5.66256416053439	6.57962337924804	5.75724194926385	6.15986519737336
ARHGEF10L	7.03578441679885	7.13011115506159	6.75821630662203	7.24551540814902	7.03820047233038	7.25600499300675	7.4120373399239	6.95059829969804	7.03689372043628	7.02678966421278	7.23088300447995
ACTL8	5.58249683063624	5.76190001732656	5.79104472728086	5.66055694171211	5.47877573407456	5.62905885836007	5.69269918789572	6.0218184320324	6.00378333578663	5.75491603085977	5.86140111931443
IGSF21	6.46265740283756	7.36223713899407	7.27825155598781	7.01098145478408	6.4327436674487	7.05519722519957	6.90976440389936	6.97499134921367	7.28168695315089	7.11534862015859	7.35668355895199
KLHDC7A	4.72370397396319	5.0861999300044	5.86574211151195	5.41999255663324	4.59197982025643	5.42068537102399	5.51353592926115	5.23687211711596	4.74089466170173	5.02974920917864	5.06835411900517
PAX7	8.4317251887883	8.15361590151238	7.98650551475227	9.26155545452841	9.1153940516308	9.50782953109339	8.91173302492682	8.62291875748666	8.64784412160528	9.295464361075	8.72465056107895
MRTO4	7.84770157020041	7.26567143550787	6.80347355308399	7.58695255585778	8.08785299061893	7.33582807833285	7.64522282639638	7.32870746057161	7.46358947136172	7.80046149489506	6.99926571062732
PQLC2	8.07260164324587	8.10714668660847	8.30529964562677	8.75153372342814	8.4771956651126	8.92656287723388	8.52157780351674	8.26942816726923	8.67976082544813	8.32346411836725	8.33585389069612
HTR6	5.72364026796472	5.6167852559564	5.28700638097146	5.57146100734953	5.37957733025387	5.26052065424449	5.76156189553368	5.76898742125961	5.51036817294136	4.86726759807582	5.12714593160031
OTUD3	7.86287977874793	7.52721088648838	7.48421160407624	7.5658042643512	7.55216525114826	7.16971842406004	7.39306797444589	7.72492824535215	7.53175773188206	7.81921746079837	7.47825125390164
PLA2G5	7.22397021028161	7.51459643383529	7.46329961783174	7.35474903989393	7.29860987593396	6.71436941643237	8.28628514421074	7.67979515226263	7.8181598610026	7.52589205254952	7.6943296126101
PLA2G2F	5.86698949650332	6.36828698652095	6.2184687435057	5.42709162843564	5.65932198303262	5.66584459942539	6.42721414915754	6.65016375533416	5.99731840628289	6.01151493173165	6.75028639815334
UBXN10	6.64241477945536	6.99799502241604	6.77348726316789	7.20386459758227	6.97273130734969	6.85576720705808	7.31718223064602	6.45907367323538	5.754597024444	7.18889151309817	7.34728752087114
VWA5B1	5.32657213223209	5.8304557057836	6.0767295193608	6.10979661238103	5.80002729136157	6.63190989318779	5.34745565862576	5.83487603686943	6.39474577946494	6.3945944159418	6.55701226887214
FAM43B	5.10246116818736	5.44888602216921	5.34175093376744	5.4914319387297	5.23939957847496	5.75646152111724	5.69843013268657	5.31202673845828	5.66471898652548	5.32480009581502	5.62592542489716
CDA	5.03632734290255	4.99960559013958	5.08354834407598	4.81082052263056	4.61501638775089	5.41653867722474	4.77028809357907	5.3252466478047	5.51296017957652	5.18156866465601	4.9116980481687
PINK1	7.65251847356368	8.49032245266029	8.3534483177674	8.09937642289023	8.20437576839541	7.91234927822	8.14347073880349	8.19139392688415	8.66732317968011	8.0059279970154	8.0358586907543
NBPF3	7.55995046605497	7.74637023257841	7.54542776195679	7.84662460657912	7.56247131412706	8.03758978279503	7.31292328468169	7.33714650138623	7.27980531966455	7.46163045247605	7.5950855292271
ALPL	7.46084369322188	6.14818043586294	5.9682361726657	7.8265109227228	7.78334177416527	7.48023888010398	6.74163167863331	6.46632869274958	6.42813302904513	6.78549965209883	6.77225573089826
LDLRAD2	7.37597482715861	7.86557373019137	7.85696061160419	7.69027874067135	7.53975439841831	8.06299162733455	8.2427862059292	7.93075969713244	8.13194283126461	7.78655956577632	8.08805568423326
HSPG2	7.43012537742068	6.84500633182965	6.65229729641929	7.3777006207583	7.0472005825492	7.14385061964243	7.32870303244627	6.65665957241624	6.90490911445103	7.03151915696372	6.70905916603451
CELA3B	6.53908090114299	6.9524171223595	6.3295568298098	6.57654528796868	6.34107391029866	6.68567236954067	7.11268560705174	6.72320988719274	7.09585853127874	6.68396383216551	6.87400422489081
CELA3A	5.89353124942439	6.14767909973948	5.94838462396254	5.70277169313849	6.10744439198963	5.77877789724611	6.6162470032145	6.09601101100389	6.17132642370346	6.06804685927923	6.19648719765629
CDC42	10.8430201193738	11.4538111161631	11.4393370565265	10.6895797316272	10.8184932941502	10.702183301802	10.2027666731657	10.8630579911571	10.9902449895336	10.8808274481548	11.1001125124263
ZBTB40	7.79142330843196	7.67921480274639	7.80006054616856	7.69296564750966	7.71238233988181	7.74164591885396	7.22175218323983	7.38703324022306	7.68851710330551	7.7294741667302	7.57920709888648
EPHA8	6.07045663894025	6.26390867726533	6.48125140025128	6.20424373595404	6.54996974175126	6.26728792460102	6.5764366042505	6.03725307240206	6.33781473457918	6.32305264224005	6.34897848312809
C1QA	6.19000996610054	6.83577553671853	6.61698628366338	6.56447350434095	6.32488592085937	6.8865828008114	7.4775720951935	7.37899211758837	7.39953660270937	6.72023731875176	6.66380085343853
C1QC	6.88566889228224	7.14723228337879	7.26678778796589	7.22265564472263	7.15482728867316	7.24678405758464	7.47987077610828	7.31024636249554	7.4358960816222	7.4283861930458	7.5573284923014
C1QB	5.72500852631536	6.01708764636441	6.10473082534338	6.04909706398758	5.77284166940035	6.48047024787641	6.13750318437985	6.08913068267283	6.40943313542187	5.65554998563202	5.93708982443902
EPHB2	9.12860208608412	9.71870738923826	9.76553032557418	8.63554542454971	8.45504511388618	9.1322584459769	9.33077271328757	9.07686153090454	9.35858824396457	9.53034023916471	9.08069018745499
KDM1A	10.9886488369347	11.0411470640822	10.9712461968857	10.85689454612	10.8661983651829	11.0865340756391	11.1932947197183	11.1501071444445	11.1477133907784	10.9609805254097	10.7693439675056
ZNF436-AS1	7.89548608945206	7.66080325119114	7.72219536538072	7.95266382486868	7.94351775949449	7.89548608945206	8.2565992644404	7.74061646419948	7.82957773169857	8.06156818676501	8.19529453553547
RPL11	12.9512275281338	12.6229298666625	12.6748718539473	12.9560162919557	12.8641044896696	12.4854336090087	13.0031172948049	12.7443953644588	12.8045316960062	12.8607023833317	12.8084535205581
TCEB3	7.03889690013503	7.03152636540733	6.92173144625534	7.16574706831857	6.90009911187822	6.60721606701037	6.80011914600942	7.0978992751778	7.04508139288084	7.08877217005435	7.12485999085343
PITHD1	9.21395332791691	9.63207890195532	9.7651611317035	9.3657046916925	9.40535000353181	7.76165677956808	8.73205165460869	9.67962071367341	9.33424130657948	9.53090166100622	9.66290330026665
LYPLA2	9.80152120941535	9.90290515257009	9.98031293692042	9.93571718926531	9.90569528445428	10.2109752882584	9.81454093693389	9.49080982588045	9.87213565023705	9.64486556047593	9.97410605827187
PNRC2	10.8551831372614	10.3071726879911	10.4027361149362	10.6135194847095	10.749941232287	10.7642628074686	10.4173060389199	10.3773291528283	10.2973753955589	10.5638504548397	10.355905228212
