symbol	C2_72h_ctrl	C2_72h_bilirubin	UJ_24h_ctrl	UJ_24h_bilirubin	UJ_72h_ctrl	UJ_72h_bilirubin	C2_24h_ctrl	C2_24h_bilirubin
LYPLA2	9.58933712451065	9.42326854627215	9.59684717253763	9.58586506749718	9.52640958788989	9.44734946625379	9.5428005734156	9.48933602092323
PNRC2	10.2940650439061	10.3452701747292	10.4417202754866	10.5661981939797	10.563300823295	10.4986950307724	10.3811664332541	10.3122138359303
GRHL3	6.63317758715098	6.51083207075308	6.34956858772026	6.53025227461402	6.59380400248332	6.36977243840405	6.29925031139992	6.79394945553263
NIPAL3	6.80015166856282	7.01127630838119	7.07731732482456	6.84633036973213	7.05061859914052	6.8647670012238	6.76590026528677	7.09373892771788
RCAN3	6.1896946595685	6.19970548794936	5.97041121740659	5.87013525488874	5.75049528789224	6.09822438881488	6.24098066597747	6.10697828184059
NCMAP	6.80972337661619	6.7136989709611	7.17167773234757	6.75148233022305	7.04008878971364	7.04171990194915	6.51310158254285	6.98888734132119
CLIC4	9.60397019717921	9.70710629638234	9.19960348329916	9.32823256847011	9.31933370208971	9.08652373977705	9.75862341500523	9.5609368366853
RHD	5.29768731965207	5.03584780503527	4.85554235901415	5.10137414687024	4.91061683103187	5.12886775503589	5.02922611871823	5.25634135002873
TMEM50A	9.54817494064781	9.55088288505092	9.42177327331157	9.81547265987173	9.58562869783447	9.68325107959157	9.62793830703865	9.61959388489192
TMEM57	9.01984313109827	9.26490616267624	8.78495128315902	8.7954261737305	8.59571891935127	8.94481283991161	9.01614377682403	9.25179804785024
LDLRAP1	7.71882434477985	7.33392908999708	7.30966099256166	7.24595345720372	7.25925330605498	7.26109787941911	7.51318505874803	7.4703049368004
MAN1C1	6.48025292010397	6.1112808555652	6.67881519969498	6.37768631775158	6.48031159770257	6.58758475294981	6.28678245078062	6.31491772890015
EXTL1	5.46755463498206	5.37371606587134	5.73065655629975	5.72791748333404	5.46330200091154	5.69568692021927	5.30819415147555	5.50656914411112
PDIK1L	8.00697917645433	8.36633547472597	7.84979032814044	8.04035053114715	7.95668763689223	8.11480322181812	8.25819317974657	8.14756585352662
FAM110D	5.31176302632563	5.24096106578816	5.89121284228669	5.56937544214038	5.3314770908595	5.58226267633142	5.26588591836884	5.33478328565979
ZNF593	6.70077450268783	6.69125781983557	6.52253194318089	6.52980791509604	7.02548899936243	6.71186869314925	6.83010132239112	6.55531182995344
CNKSR1	5.74852045860043	5.14506818163964	5.9384211959512	5.89282326174412	6.13108745611658	5.89580700216591	5.77366840078463	5.26327386661037
CATSPER4	4.91033237065172	5.07275109676829	5.48341260257523	5.20903421805962	4.87784904407913	5.60873911056078	4.67181428743489	5.32956803998439
CEP85	7.2236901249102	7.25171969014181	7.07344572917815	7.08163321664542	6.89781733230849	6.74743220829458	7.51769088587823	6.96495957804477
SH3BGRL3	8.65641505940865	8.62868586922431	8.6527696810824	8.76200975444387	8.58866518724924	8.77614363709567	8.78361770069948	8.5697611978022
CD52	6.6351644909745	6.07176471242365	6.81647560056294	6.61551322790574	6.61500342607051	6.75152160811303	6.17275366478885	6.49140163204371
