symbol	UMK1_con_1	UMK1_con_2	UMK1_PAN_1	UMK1_PAN_2	SPH_1	SPH_2
SEMA4A	9.14691363779152	9.21925588778226	8.7278838221989	8.8360357537489	8.54582815532542	8.23302328805159
SLC25A44	9.06416044709433	9.11398811821176	9.30427110066858	8.93099338045848	8.8758358177434	8.5048420515108
PMF1	9.66234708659123	9.72483433430912	9.58543006043123	9.49924985174346	9.48332201789708	9.55355432709642
TMEM79	7.13027820860823	7.08096433193686	6.96321911648239	7.41342070251097	7.05403575699729	7.06450635625154
TSACC	4.92028509884946	5.117389337276	4.29492221447725	4.84018723404709	4.63381339385256	4.31322206447105
RHBG	4.73288642964077	5.19639134584562	4.70611044159187	4.87587774187424	4.53860783374922	4.3653408758653
TTC24	9.55615997243599	9.40771631994623	9.35090152428976	9.63265365518011	9.38936521221287	9.321492223356
APOA1BP	10.2638781843349	10.1352386075344	9.92576966805707	9.79610645122925	9.82661394680791	9.8193837249967
HAPLN2	6.46677839692847	6.51215806512016	6.29260840634228	6.89512646509349	6.56300534784131	6.53288936583034
BCAN	6.83543557689793	6.58960478240396	6.61425923222619	5.55539977859914	6.90150616656736	6.73215016899803
RRNAD1	8.87601767357781	8.65182263045305	8.69325577375297	8.79316505281237	8.74761597031415	8.80433141165326
PRCC	10.8944011744316	10.8726881739171	10.9412841343906	10.9861935581431	10.8300014447979	10.7658943903072
NTRK1	6.53154334523314	5.84532445225977	6.18512045908351	6.46915480562015	6.1067595741507	6.17728158638861
PEAR1	7.85199097021799	7.50875212024992	7.23990978707763	7.58314092828942	7.13865663464539	7.13756980469629
LRRC71	5.66318792358268	5.60251838827608	5.48774549905253	5.34455089862291	5.68156806491211	5.45331670732544
KIRREL	9.63849952766014	9.52773943959116	9.39702389655245	9.44867950388302	9.26964362992292	9.27828280920848
CD1D	8.1980311991345	7.95962864020219	7.90401490744667	7.9800913767311	8.24494470156792	8.29662162551072
CD1A	3.69415658064562	4.69276051693153	4.53489255969293	4.14279700970899	4.33378889689185	4.05812286061124
CD1C	4.94594141341195	4.7725438524385	4.79165441749094	4.62518735343572	4.94122365265613	4.81377652593284
CD1E	6.05205446229078	5.79869387548229	6.04234224771687	6.12063667109696	6.44616073896453	6.05222417025871
OR10K1	3.65038485967378	3.9701929763367	3.51317889645793	3.81749182488867	3.86586423625189	3.87500869172669
OR10R2	4.87868157064102	4.97782557670354	4.98785575975632	5.02108671833281	5.13435582429643	5.02564192339571
OR10Z1	4.13368691560372	4.00656344507301	4.43785547611347	4.22819567559584	4.16487926919406	4.09903981171595
OR6K6	3.00398382125275	3.22247996858871	2.86857613795011	3.0595633713911	3.14932006992426	2.89536834643492
MNDA	3.66275577405404	3.66884839602884	3.69674994253216	4.12837912922591	3.59170565661419	3.36705385913679
PYHIN1	4.54144485700233	5.06015720487044	4.60797077128706	4.5889597264792	4.23161287187604	4.45009656710836
IFI16	9.67516011160672	9.49249768022853	10.1356916024264	9.90064993652023	7.47908349209024	8.20923878889495
FCER1A	3.4272148615483	3.70949409646701	3.61414849312732	3.84936226477849	3.44477540867951	3.48570432854479
OR10J4	3.37191695101062	3.48932910112058	3.81409514631386	3.21708780211701	3.38193871961022	3.45215854750449
OR10J1	3.57660046745501	3.69430912755262	3.79126125320326	3.2949456976557	4.00983034486233	3.85373589498678
APCS	5.67785789329557	5.34429166946308	5.65341386936942	5.0123831773235	5.5539080397672	5.29754212078216
DUSP23	8.08111190090505	7.82709269734566	7.7622747365619	8.2475209053797	7.76197292378323	7.68903009904369
FCRL6	7.30362589223103	7.00965707820441	7.38872412762649	6.92083511114283	7.6023961205143	7.34530192231395
SLAMF8	6.03758120084243	6.41051218872718	5.80786225102591	6.42284451667369	5.92169144391632	6.13812037054751
KCNJ9	6.01214332028462	6.12118845750205	6.35721916193482	6.35443151332662	5.72039826913417	5.41357843197833
ATP1A2	9.47422458645586	9.59040469738155	9.42429693691668	9.4416223020847	10.3791125165925	10.166947485167
ATP1A4	7.48360040195739	7.62364277564587	7.83736878689455	7.86219727985064	7.68767380556897	7.82508262576246
CASQ1	6.46192544369233	6.76068913833632	6.33463947565049	6.44221604621894	7.04984880828924	6.84108060554084
PEA15	11.785808494191	11.7861025677843	11.2496229862706	11.2739061016571	12.2830167532018	12.2658671969754
NCSTN	10.3358775556731	10.2672661637478	10.773361864522	10.7626576504392	10.3401352431153	10.2789356455306
NHLH1	9.33417082950435	9.25599632574387	8.92491193630103	9.214481627545	10.3991998688382	10.3407636373113
VANGL2	10.6955032534397	10.612481392364	10.6935060456283	10.7042907679345	10.8981927670995	10.9593204594208
SLAMF6	4.50373770529546	3.80606313453599	3.5835161755606	3.90331084814319	4.07051410429664	3.94531071235241
SLAMF7	4.88517647238014	4.96691767597682	4.88626818327231	5.41252327508515	4.53891162965914	4.74371183549976
LY9	3.90658862718058	4.19098120267525	4.24010730981144	4.11984860882184	4.39117864281771	4.28891911103407
KLHDC9	7.31410154731551	7.10413875864237	7.21787065044099	7.12068272412557	7.35068656488546	7.25159614293091
NIT1	9.39112340775246	9.35929814898021	9.34333194349652	9.14763916804433	9.44614803661787	9.39913371125384
UFC1	11.0616067902008	11.1285304256976	11.3042730821047	11.3438792744507	11.1435579559188	11.0512817962385
USP21	9.63904002998701	9.74681858883473	9.97543737046162	9.81990123236411	9.60314980159979	9.68026093536433
PPOX	8.6646813913359	8.461723202401	8.70948812996881	8.68721871226389	8.67162624247156	8.82152872977234
NDUFS2	10.2484700941268	10.3492166983478	10.569570608314	10.4361953172367	10.0426647902772	10.0446219081238
FCER1G	4.25264421151392	4.39592573478662	4.52623878427791	4.78078656132822	4.42096042716072	4.73729766549582
TOMM40L	8.0995992461523	8.41149186421383	8.24952127025988	8.14494134340609	7.92785854957419	8.05525999539455
PCP4L1	7.49062472143579	7.69272332848662	7.00976704419562	7.21555215799256	6.90226451782153	6.36008771836724
SDHC	10.637635468633	10.6742660974102	10.5391905612721	10.6025780265905	10.4970896701501	10.4878057904662
HSPA6	6.89844583512561	6.79156090936228	7.18337603502475	7.44550085353324	7.15097021414227	6.61400083959442
FCRLA	7.79369723498485	7.63044417723036	7.40916692871061	7.54493972645264	7.86887234479112	7.43840037789657
FCRLB	8.1326960922438	7.85716520703683	7.94004920175461	7.93926852813326	7.77085996942652	7.71215579001959
DUSP12	9.05258894722616	9.25199429630761	9.12171292465987	9.33942850497281	8.98529936901184	9.12786545574705
ATF6	10.7144925197083	10.7084657651525	10.4186091735815	10.1579353966616	10.5572369535641	10.6997546649301
UHMK1	10.0845676707961	9.93804966589011	10.3388075966496	10.2170580495815	10.4116644925372	10.271806813043
UAP1	9.33528206389994	9.31690739163946	9.66105393388607	9.58503525908247	9.78285465813592	9.80260753778586
DDR2	9.97936002795789	9.9161078373055	9.8036337067674	9.53941372127054	9.46627026445215	9.46934727224061
HSD17B7	9.76941332231049	9.56595677817444	9.26167424263806	9.23199910871716	10.1584478577694	10.2254333842899
RGS4	10.2657007948736	9.87848487149795	8.8689842490538	8.82587330608288	8.67624255713119	8.5656172162662
NUF2	8.29878085346028	8.60133441793768	7.20514715693583	7.11833784052467	9.53928675245032	9.70069913981767
PBX1	11.7160780477443	11.6793177594683	10.6951985005124	10.6659355233442	11.7170149476969	11.7149629854342
LRRC52	4.89132000953402	4.7649426233065	4.6692630237101	4.45010056348887	5.42948999864695	5.29483118750149
MGST3	11.2142006364213	11.1604764627381	11.1689580271677	11.0677295223092	10.7935370224969	10.8972005439675
